, Global Innovation Index, Innovation Efficiency Ratio, Innovation Input Sub-index, Innovation Output Sub-index,Institutions(ranking),Human capital and research(ranking),Infrastructure(ranking),Market sophistication(ranking),Business sophistication(ranking),Knowledge and technology outputs(ranking),Creative outputs,Institutions(value),Human capital and research(value),Infrastructure(value),Market sophistication(value),Business sophistication(value),Knowledge and technology outputs(value),Creative outputs(value)
Bulgaria,42.8,0.8,47.6,38.1,52,56,48,76,32,35,29,67.1,33.7,51.9,43.9,41.4,33.6,44.1
Burkina Faso,21.9,0.2,35.3,8.4,86,110,118,121,14,106,127,53.4,15.8,25.4,29.7,52.2,32.6,1.8
Burundi,21.3,0.4,30.2,12.4,118,114,124,114,36,124,115,43.2,14.9,21.9,32.7,38.4,39.5,16.9
Cambodia,27,0.6,33.2,20.9,98,118,113,37,111,90,92,49.1,14.2,26.9,52.4,23.3,23.9,24.4
Cameroon,22.6,0.6,29,16.1,119,101,119,113,109,101,117,42.3,19.8,25.3,33.7,24,20.4,16.7
Canada,53.7,0.6,65.6,41.7,7,20,18,3,24,19,27,91,53.3,62.1,73.7,47.8,45.3,44.8
Chile,38.7,0.6,48.3,29.1,41,61,47,50,46,49,59,70.3,32.8,52.1,49.8,36.5,38.7,32.1
China,52.5,0.9,54.2,50.9,78,25,27,28,9,4,26,54.8,49.2,57.9,54.7,54.5,50.1,45.3
Colombia,34.8,0.5,45.8,23.8,69,66,44,31,64,81,73,58.5,31.7,52.5,53.1,32.9,35.3,28.6
Costa Rica,37.1,0.7,44,30.2,56,62,61,101,52,59,40,66,32.7,47.6,38.4,35.2,47.6,38.3
Cote d'Ivoire,24,0.7,28.4,19.5,94,117,114,123,121,75,108,51,14.4,26.5,29.1,20.9,21.7,18.7
Croatia,39.8,0.7,48,31.6,42,47,33,88,53,51,43,69.3,37.4,55.9,42.1,35.1,31.7,37.9
Cyprus,46.8,0.7,53.9,39.7,21,40,59,19,31,17,41,81,39.9,48.1,57.9,42.7,43.7,38.2
Czech Republic,51,0.8,55.7,46.2,30,30,30,47,26,14,22,77.6,47.6,57.3,50.2,45.9,47.2,46.7
Denmark,58.7,0.7,68.7,48.7,6,3,15,6,12,16,9,91.4,66.1,63.2,70.2,52.5,41.1,53.5
Dominican Republic,31.2,0.6,37.8,24.5,90,109,78,70,67,91,60,51.8,17.6,42.4,45.4,31.9,22.8,31.9
Ecuador,29.1,0.6,36.1,22.2,116,93,76,68,103,109,66,43.3,22.8,43.4,45.8,25.1,22.6,30.1
Egypt,26,0.6,32.7,19.3,121,82,93,107,120,93,97,40.4,26.9,38.4,36.7,21,22.5,21.6
El Salvador,26.7,0.5,36.1,17.3,85,100,98,87,82,121,89,53.5,20.1,36.2,42.2,28.2,29.1,25.3
Estonia,50.9,0.8,57,44.9,20,38,11,26,29,27,8,81.1,41.5,63.9,55,43.4,38.3,53.6
Ethiopia,24.2,0.7,28.2,20.2,114,115,107,127,108,105,90,43.9,14.8,33,24.8,24.2,38.5,25
Finland,58.5,0.7,68.9,48.1,4,1,8,13,6,10,18,92.2,66.4,64.4,61.6,60.1,50.9,47.3
France,54.2,0.7,63.4,44.9,24,12,12,11,18,20,12,80.7,58.1,63.4,64.3,50.6,49.7,51.4
Georgia,34.4,0.6,42.2,26.6,47,89,74,53,101,54,69,68.6,23.6,43.8,49.2,25.6,27.6,29.3
Germany,58.4,0.8,63.3,53.5,18,10,20,16,15,8,7,83.5,60.1,61.5,60,51.4,43.1,55.9
Greece,38.8,0.6,49.7,28,59,16,58,48,80,74,51,65.2,56.4,48.2,50.2,28.8,24.2,35.5
Guatemala,27.9,0.6,35.9,19.9,107,107,103,77,47,111,84,46.5,18.1,34.6,43.8,36.2,30.2,26
Guinea,17.4,0.4,24.9,10,112,126,121,126,124,127,122,45,8.9,24.8,26.3,19.3,24.3,13.5
Honduras,26.4,0.5,34.8,18,117,102,104,66,70,117,93,43.2,19.7,33.8,45.9,31.3,30.7,23.5
Hong Kong (China),53.9,0.6,67,40.8,3,28,4,2,16,25,25,92.7,47.7,68.4,74.8,51.1,57.4,45.4
Hungary,41.7,0.7,48.4,35.1,40,42,46,91,40,33,42,70.7,39.5,52.3,41.5,37.8,47.2,37.9
Iceland,55.8,0.9,60.1,51.4,16,26,25,24,20,18,2,86.6,49,59.9,55.2,49.8,40.4,62.9
India,35.5,0.7,42.8,28.1,92,64,73,39,55,38,85,51.4,32.3,44.1,51.9,34.6,34.7,25.9
Indonesia,30.1,0.7,35.7,24.5,120,92,81,64,96,70,77,41.2,23,42,46,26.2,34.1,28.1
Iran,32.1,0.8,35.7,28.5,106,45,99,112,115,47,65,46.6,37.5,36.2,35.5,22.8,18.4,30.2
Ireland,58.1,0.8,62.9,53.4,12,18,17,25,10,5,13,87.6,55.1,62.1,55,54.5,56.6,50.9
Israel,53.9,0.8,61,46.8,49,15,28,15,5,9,30,67.9,56.5,57.8,61.5,61.5,53.5,43.9
Italy,47,0.7,54.4,39.5,38,32,19,36,35,26,33,71.9,46.3,61.8,52.6,39.6,35.8,42.9
Jamaica,30.4,0.6,38.7,22,57,88,108,95,69,108,67,65.8,23.8,32.8,39.8,31.3,32.9,29.7
Japan,54.7,0.7,65.5,44,13,14,9,12,11,12,36,87.4,56.7,64.3,64.3,54.5,54.1,40.8
Jordan,30.5,0.6,37.1,24,64,83,87,116,104,79,72,61.6,26.7,40.1,32.3,24.7,39.3,28.6
Kazakhstan,31.5,0.5,43.2,19.8,55,71,60,80,87,88,95,66.1,31,47.9,43.2,27.6,27.5,21.9
Kenya,31,0.7,37.2,24.7,84,119,97,56,62,63,79,53.8,14.1,36.7,48.2,33.2,25.7,27.8
"Korea, Republic of",57.7,0.8,63.3,52.1,35,2,13,14,17,6,15,74.5,66.2,63.4,61.6,51.1,50.9,49.4
Kuwait,36.1,0.8,40.3,31.9,76,68,49,58,127,41,55,55.8,31.3,51.4,47.8,15.2,24.4,34.1
Kyrgyzstan,28,0.5,38.2,17.9,102,74,94,61,89,87,111,47.6,30.6,38.2,46.9,27.5,28.7,17.4
Latvia,44.6,0.7,51.3,38,28,52,42,38,39,48,14,77.8,35.2,53.1,52.1,38.2,30.9,49.4
Lebanon,30.6,0.6,38,23.3,100,78,88,96,61,82,81,47.9,29,40,39.4,33.5,28.8,27.5
Lithuania,41.2,0.6,51.9,30.4,36,46,31,32,41,66,38,74.1,37.5,57.2,53,37.8,24.2,39.6
Luxembourg,56.4,1,57.4,55.4,19,33,24,78,7,15,1,82.6,42.9,60.1,43.4,57.8,49,65.8
Madagascar,24.2,0.7,28.8,19.5,99,116,125,106,116,113,88,48.7,14.8,20.8,36.9,22.7,38.2,25.4
Malawi,23.5,0.5,30.8,16.2,93,122,117,118,66,98,118,51.3,12.3,26.2,32,32,26.7,16.5
Malaysia,42.7,0.7,50.9,34.5,53,35,45,20,48,36,45,67,41.9,52.4,57.6,35.7,45.6,37.3
Mali,22.5,0.6,28.1,16.8,110,123,122,124,74,80,121,45.9,12.2,24.5,28.6,29.4,39.3,14.5
Malta,50.6,0.8,54.9,46.3,29,37,23,69,21,23,6,77.6,41.9,60.6,45.4,49,49.4,56
Mauritius,34.8,0.5,47.1,22.5,27,76,64,44,86,115,61,80,30.2,47.2,50.6,27.7,31,31.4
Mexico,35.8,0.6,44.5,27.1,68,55,53,49,71,64,58,58.5,33.7,49.7,50,30.8,35,32.6
Moldova,36.8,0.8,41.4,32.3,72,59,82,62,81,52,39,56.4,33.2,41.7,46.8,28.7,31.3,39.3
Mongolia,37.1,0.7,42.7,31.6,60,81,86,35,76,67,34,64.6,26.9,40.1,52.6,29.3,31.1,42
Montenegro,38.1,0.6,46.8,29.3,48,49,54,65,58,57,48,68.4,36.3,49.5,45.9,34.1,35.3,36.1
Morocco,32.7,0.6,40.6,24.8,70,63,51,89,122,77,68,58.1,32.3,50,42.1,20.5,21.6,29.4
Mozambique,24.5,0.6,30.5,18.6,113,104,110,111,106,72,119,44.6,18.7,28.8,35.8,24.4,28.5,16.5
Namibia,27.9,0.5,37.8,18.1,58,94,92,97,113,123,75,65.2,22.5,38.6,39.3,23.2,21.3,28.3
Nepal,24.2,0.5,32.5,15.9,115,113,105,75,95,112,109,43.9,15,33.3,44.1,26.2,31.4,18.1
Netherlands,63.4,0.9,65.8,60.9,11,19,14,17,1,2,5,88.2,54.7,63.3,59,63.7,78,59
New Zealand,52.9,0.6,64.1,41.6,2,17,22,8,28,29,16,93.4,56,61,66.3,44,38.8,49
Niger,21.2,0.4,31.2,11.2,97,98,112,125,72,78,126,49.2,20.6,27.5,28,30.6,52.1,2.7
Nigeria,21.9,0.5,28.9,14.9,123,112,111,94,118,119,102,39.6,15.1,28.2,40.2,21.7,24.6,19.9
Norway,53.1,0.7,64,42.3,5,21,1,22,23,22,20,91.8,53.3,69.3,57.2,48.3,37.1,47.1
Oman,31.8,0.5,43.5,20.2,39,51,56,72,126,100,91,71.8,35.8,48.4,44.2,17,15.6,24.8
Pakistan,23.8,0.6,29.4,18.2,124,121,109,102,78,84,112,38,12.8,29,38.3,29,30.6,17.4
Panama,35,0.7,41.3,28.7,66,96,36,83,94,60,50,60.5,21.4,55.1,43,26.4,34.3,35.6
Paraguay,30.3,0.6,37.6,23,105,87,89,45,92,120,46,46.9,24,39.9,50.5,26.9,28,36.4
Peru,32.9,0.5,44.2,21.6,67,84,69,27,49,97,82,58.7,26.6,45.2,54.8,35.7,37.5,27.4
Philippines,32.5,0.6,39.4,25.6,89,95,72,92,45,42,94,52,22.3,44.6,41.3,36.9,43.8,22.8
Poland,42,0.7,50.2,33.8,33,48,41,55,42,44,37,75.6,36.5,53.3,48.2,37.4,36.9,39.7
Portugal,46.1,0.7,53.8,38.3,23,29,39,43,50,39,21,80.8,47.6,54,51.1,35.4,31.6,46.7
Qatar,37.9,0.6,47,28.8,37,58,26,85,84,55,54,72.8,33.3,58.1,42.6,28,30.6,34.5
Romania,39.2,0.7,46.4,32,43,75,37,73,63,37,57,69,30.5,55.1,44.2,33,36.1,32.9
Russia,38.8,0.6,48.2,29.3,73,23,62,60,33,45,62,56.1,50,47.5,47.1,40.3,41,31
Rwanda,27.4,0.3,41.1,13.7,61,90,85,93,44,125,103,63.5,23.5,40.4,40.9,37,32.2,19.6
Saudi Arabia,36.2,0.5,47.3,25,88,31,40,51,54,62,74,52.4,46.5,53.3,49.4,35,34,28.4
Senegal,27.1,0.5,35.2,19,80,67,106,115,105,86,104,54.5,31.7,33.1,32.4,24.5,25.5,19.6
Serbia,35.3,0.6,43.8,26.9,50,54,52,99,79,53,70,67.7,33.9,49.7,38.7,28.9,29.1,29.1
Singapore,58.7,0.6,72.3,45.1,1,5,2,4,2,11,32,94.4,63.7,69.1,71.2,62.9,68.9,42.9
Slovakia,43.4,0.7,49.7,37.2,34,53,35,67,38,30,35,74.5,34.4,55.3,45.8,38.3,34,40.8
Slovenia,45.8,0.7,54.4,37.2,22,24,34,82,30,43,23,80.9,49.2,55.4,43.1,43.4,38.5,46.4
South Africa,35.8,0.5,46.9,24.7,54,60,75,21,57,65,78,66.3,32.8,43.4,57.4,34.4,33,28
Spain,48.8,0.7,57.3,40.3,32,27,10,18,37,24,28,75.9,48.9,64.3,59,38.4,36.9,44.4
Sri Lanka,29.9,0.6,36.3,23.4,111,105,63,86,83,68,86,45.3,18.6,47.3,42.2,28,34.6,25.8
Sweden,63.8,0.8,69.7,57.9,10,4,3,10,4,3,11,88.3,63.7,69.1,64.9,62.6,54.6,53.3
Switzerland,67.7,0.9,69.6,65.8,8,7,6,7,3,1,3,89.5,63.3,65.1,67.5,62.6,56.3,62.5
Tajikistan,28.2,0.6,35.5,20.8,108,80,120,29,107,58,106,46.4,28.5,24.8,53.6,24.2,25.3,19.2
Tanzania,28,0.7,32.3,23.6,83,125,100,110,97,94,64,53.9,9.5,36.1,36,26.1,24.4,30.6
TFYR Macedonia,35.4,0.6,44.5,26.3,45,77,80,59,56,83,56,68.9,29.7,42.2,47.4,34.5,28.1,33.7
Thailand,37.6,0.8,42.9,32.2,75,72,71,42,68,40,53,55.8,30.8,45,51.2,31.8,44.1,34.6
Togo,18.4,0.3,28.8,8,96,111,115,119,117,116,125,49.4,15.7,26.5,30.7,21.9,19.9,3.5
Trinidad and Tobago,29.7,0.6,38.2,21.3,65,99,101,71,77,56,101,60.7,20.4,35.9,45,29.1,25.9,20
Tunisia,32.3,0.6,40,24.6,77,44,70,98,112,69,76,54.9,38,45.2,38.7,23.2,22.3,28.3
Turkey,38.9,0.8,42.3,35.5,95,43,68,57,75,46,31,50.6,38.1,45.7,47.8,29.3,32.7,43.4
Uganda,27,0.5,36.7,17.2,79,106,84,108,60,103,107,54.6,18.2,40.5,36.7,33.6,36.3,18.9
Ukraine,37.6,0.8,41,34.2,101,41,90,81,51,32,49,47.9,39.6,39.3,43.2,35.3,33,35.6
United Arab Emirates,43.2,0.5,58,28.5,25,22,29,33,25,71,47,80.6,51,57.5,52.9,47.8,37.8,36.1
United Kingdom,60.9,0.8,68.3,53.5,9,6,5,5,13,13,4,88.4,63.3,67.1,70.2,52.2,42.9,60.5
United States,61.4,0.8,68.9,53.9,17,13,21,1,8,7,10,86.2,57.2,61,83.4,56.4,55.2,53.5
Uruguay,34.5,0.6,43.5,25.6,44,57,43,109,100,76,63,69,33.5,52.7,36.5,25.6,21.6,30.9
Vietnam,38.3,0.8,41.7,34.9,87,70,77,34,73,28,52,52.8,31,42.7,52.8,29.4,44.1,34.8
Yemen,15.6,0.4,22.4,8.9,126,120,126,117,123,126,124,30.6,13.5,16.3,32.1,19.5,21.8,11
Zambia,20.8,0.6,26.1,15.5,104,127,116,100,125,95,120,46.9,0.8,26.3,38.4,18.3,19.6,14.9
Zimbabwe,21.8,0.6,28,15.6,125,79,127,105,114,110,113,35.7,28.7,15.5,37.2,22.8,25.2,17.2
